accuracy,loss,val_accuracy,val_loss,learning_rate
0.7052631378173828,0.7806881070137024,0.9579710364341736,0.17410795390605927,0.0010000000474974513
0.959709644317627,0.16565483808517456,0.9869565367698669,0.05530962347984314,0.0010000000474974513
0.9803992509841919,0.0856800526380539,0.9927536249160767,0.03146176412701607,0.0010000000474974513
0.9883847832679749,0.05106925591826439,0.9927536249160767,0.022913187742233276,0.0010000000474974513
0.9869328737258911,0.04625123366713524,0.9927536249160767,0.02128699980676174,0.0010000000474974513
0.9887477159500122,0.033933717757463455,0.9985507130622864,0.008754931390285492,0.0010000000474974513
0.9956442713737488,0.01974230818450451,0.9956521987915039,0.009880777448415756,0.0010000000474974513
0.994192361831665,0.018864750862121582,1.0,0.004854843486100435,0.0010000000474974513
0.9967331886291504,0.020280249416828156,0.9985507130622864,0.0041938661597669125,0.0010000000474974513
0.996370255947113,0.01797032169997692,0.9985507130622864,0.009760227054357529,0.0010000000474974513
0.9974591732025146,0.011713623069226742,0.9971014261245728,0.006993569433689117,0.0010000000474974513
0.9967331886291504,0.01283563207834959,0.9956521987915039,0.012343198992311954,0.0010000000474974513
0.9970961809158325,0.011716027744114399,1.0,0.0024627598468214273,0.0005000000237487257
